Char	Lexicality	Key	PY	Pho	IPA	Tone	Initial	SyStruct	SyLen	PyLen	SegLen	PhoLen	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	FreqDowls	FreqDL	Homophones	HD	PND	Sub_PND	Add_PND	Del_PND	Neighbors	NF	CC	CS	Btw	Close	Eigen
娩	added	miEn	mian	m i En	miɛn	NA	m	CGVN	1	4	4	3	added	0	0		0	0	棉, 眠, 绵, 免, 冕, 勉, 愐, 缅, 面, 麺	10	37	23	12	2	Q i En, t i En, J i En, T i En, n i En, X i En, p i En, l i En, P i En, m i aU, y i En, @r i En, m i E, i i En, u i En, m i y, m i oU, m i u, iN i En, @ i En, aI i En, yn i En, in i En, i m i En, m i En i, m an i En, m aU i En, m iN i En, m eI i En, m @N i En, m i En y, an m i En, iN m i En, m i En in, m i En @, i En, m i	28825.8586957	0.31	0	0	0	0
皿	added	min	min	m in	min	NA	m	CVN	1	3	3	2	added	0	0		0	0	岷, 旻, 民, 珉, 悯, 抿, 敏, 泯, 闵	9	30	24	5	1	m a, m eI, m @n, X in, J in, m aI, n in, m iN, m aN, m an, m i, m aU, m @N, m u, Q in, m oU, P in, l in, p in, y in, iN in, u in, in in, m ir, i m in, m aI in, m in i, y m in, m aN in, in	37136.825	0.34	0	0	0	0
鳴	added	miN	ming	m iN	miŋ	NA	m	CVN	1	4	3	2	added	0	0		0	0	冥, 名, 明, 暝, 茗, 铭, 鸣, 酩, 命	9	40	26	13	1	m a, m eI, T iN, m @n, J iN, X iN, Q iN, p iN, m aI, l iN, t iN, m aN, m an, m i, m aU, m @N, P iN, m u, m oU, m in, n iN, in iN, yn iN, an iN, m ir, iN iN, m iN yn, m iN i, m iN y, m iN an, u m iN, m iN @, iN m iN, i m iN, @ m iN, @r m iN, y m iN, yn m iN, aI m iN, iN	46996.1923077	0.27	0	0	0	0
瞑	added	miN	ming	m iN	miŋ	NA	m	CVN	1	4	3	2	added	0	0		0	0	冥, 名, 明, 暝, 茗, 铭, 鸣, 酩, 命	9	40	26	13	1	m a, m eI, T iN, m @n, J iN, X iN, Q iN, p iN, m aI, l iN, t iN, m aN, m an, m i, m aU, m @N, P iN, m u, m oU, m in, n iN, in iN, yn iN, an iN, m ir, iN iN, m iN yn, m iN i, m iN y, m iN an, u m iN, m iN @, iN m iN, i m iN, @ m iN, @r m iN, y m iN, yn m iN, aI m iN, iN	46996.1923077	0.27	0	0	0	0
銘	added	miN	ming	m iN	miŋ	NA	m	CVN	1	4	3	2	added	0	0		0	0	冥, 名, 明, 暝, 茗, 铭, 鸣, 酩, 命	9	40	26	13	1	m a, m eI, T iN, m @n, J iN, X iN, Q iN, p iN, m aI, l iN, t iN, m aN, m an, m i, m aU, m @N, P iN, m u, m oU, m in, n iN, in iN, yn iN, an iN, m ir, iN iN, m iN yn, m iN i, m iN y, m iN an, u m iN, m iN @, iN m iN, i m iN, @ m iN, @r m iN, y m iN, yn m iN, aI m iN, iN	46996.1923077	0.27	0	0	0	0
𦺒	added	moU	mou	m oU	moʊ	NA	m	CVV	1	3	3	2	added	0	0		0	0	哞, 牟, 眸, 缪, 谋, 呣, 某	7	35	30	4	1	i oU, m a, t oU, m eI, z oU, m @n, S oU, m aI, k oU, x oU, T oU, m iN, Z oU, m aN, m an, m i, m aU, C oU, m @N, K oU, l oU, m u, r oU, s oU, m in, c oU, f oU, oU oU, P oU, m ir, in m oU, m u oU, y m oU, m i oU, oU	151183.916667	0.4	0	0	0	0
䱯	added	mu	mu	m u	mu	NA	m	CV	1	2	2	2	added	0	0		0	0	亩, 姆, 姥, 拇, 母, 牡, 募, 墓, 幕, 慕, 暮, 木, 沐, 牧, 目, 睦, 穆, 苜	18	49	35	13	1	p u, m a, m eI, C u, m @n, Z u, m aI, S u, f u, m iN, t u, l u, K u, r u, m aN, m an, m i, m aU, z u, k u, T u, m @N, x u, m oU, s u, P u, i u, m in, n u, c u, iN u, u u, m ir, yn u, @r u, m u o, m u oU, m u u, iN m u, m u y, aI m u, @r m u, in m u, m i u, m u aI, m aU u, yn m u, i m u, u	70923.8285714	0.31	0	0	0	0
𨡭	added	mu	mu	m u	mu	NA	m	CV	1	2	2	2	added	0	0		0	0	亩, 姆, 姥, 拇, 母, 牡, 募, 墓, 幕, 慕, 暮, 木, 沐, 牧, 目, 睦, 穆, 苜	18	49	35	13	1	p u, m a, m eI, C u, m @n, Z u, m aI, S u, f u, m iN, t u, l u, K u, r u, m aN, m an, m i, m aU, z u, k u, T u, m @N, x u, m oU, s u, P u, i u, m in, n u, c u, iN u, u u, m ir, yn u, @r u, m u o, m u oU, m u u, iN m u, m u y, aI m u, @r m u, in m u, m i u, m u aI, m aU u, yn m u, i m u, u	70923.8285714	0.31	0	0	0	0
䮸	added	mu	mu	m u	mu	NA	m	CV	1	2	2	2	added	0	0		0	0	亩, 姆, 姥, 拇, 母, 牡, 募, 墓, 幕, 慕, 暮, 木, 沐, 牧, 目, 睦, 穆, 苜	18	49	35	13	1	p u, m a, m eI, C u, m @n, Z u, m aI, S u, f u, m iN, t u, l u, K u, r u, m aN, m an, m i, m aU, z u, k u, T u, m @N, x u, m oU, s u, P u, i u, m in, n u, c u, iN u, u u, m ir, yn u, @r u, m u o, m u oU, m u u, iN m u, m u y, aI m u, @r m u, in m u, m i u, m u aI, m aU u, yn m u, i m u, u	70923.8285714	0.31	0	0	0	0
毪	added	mu	mu	m u	mu	NA	m	CV	1	2	2	2	added	0	0		0	0	亩, 姆, 姥, 拇, 母, 牡, 募, 墓, 幕, 慕, 暮, 木, 沐, 牧, 目, 睦, 穆, 苜	18	49	35	13	1	p u, m a, m eI, C u, m @n, Z u, m aI, S u, f u, m iN, t u, l u, K u, r u, m aN, m an, m i, m aU, z u, k u, T u, m @N, x u, m oU, s u, P u, i u, m in, n u, c u, iN u, u u, m ir, yn u, @r u, m u o, m u oU, m u u, iN m u, m u y, aI m u, @r m u, in m u, m i u, m u aI, m aU u, yn m u, i m u, u	70923.8285714	0.31	0	0	0	0
模	added	mu	mu	m u	mu	NA	m	CV	1	2	2	2	added	0	0		0	0	亩, 姆, 姥, 拇, 母, 牡, 募, 墓, 幕, 慕, 暮, 木, 沐, 牧, 目, 睦, 穆, 苜	18	49	35	13	1	p u, m a, m eI, C u, m @n, Z u, m aI, S u, f u, m iN, t u, l u, K u, r u, m aN, m an, m i, m aU, z u, k u, T u, m @N, x u, m oU, s u, P u, i u, m in, n u, c u, iN u, u u, m ir, yn u, @r u, m u o, m u oU, m u u, iN m u, m u y, aI m u, @r m u, in m u, m i u, m u aI, m aU u, yn m u, i m u, u	70923.8285714	0.31	0	0	0	0
