Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
r a U 1									0.000	0	0	0.0		0		0	0.000		28	27	0	1	i a U 1, k a U 1, z a U 1, Ji a U 1, S a U 1, Z a U 1, p a U 1, c a U 1, C a U 1, m a U 1, t a U 1, Ti a U 1, Qi a U 1, r a U 4, pi a U 1, P a U 1, Xi a U 1, Pi a U 1, T a U 1, r a U 2, ti a U 1, s a U 1, l a U 1, mi a U 1, r a U 3, K a U 1, n a U 1, a U 1	3600.40740741
r E 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
r E 1									0.000	0	0	0.0		0		0	0.000		14	14	0	0	Xi E 1, Ji E 1, y E 1, Ti E 1, Qy E 1, ni E 1, pi E 1, ti E 1, Xy E 1, li E 1, i E 1, Pi E 1, Jy E 1, mi E 1	3069.92857143
r E 2									0.000	0	0	0.0		0		0	0.000		9	9	0	0	Xy E 2, Ji E 2, r u 2, i E 2, Xi E 2, Jy E 2, ti E 2, Qy E 2, Qi E 2	3216.22222222
r E 3									0.000	0	0	0.0		0		0	0.000		10	10	0	0	i E 3, Xi E 3, r @ 3, Ji E 3, Xy E 3, Ti E 3, Qi E 3, r u 3, Pi E 3, pi E 3	15783.2
r E 4									0.000	0	0	0.0		0		0	0.000		16	16	0	0	pi E 4, y E 4, Qy E 4, Ji E 4, i E 4, r 1 4, Xi E 4, r @ 4, r u 4, Qi E 4, li E 4, mi E 4, ni E 4, ly E 4, Xy E 4, ny E 4	8173.4375
r e I 0									0.000	0	0	0.0		0		0	0.000		1	1	0	0	l e I 0	55.0
r e I 1									0.000	0	0	0.0		0		0	0.000		15	15	0	0	x e I 1, p e I 1, f e I 1, Zu e I 1, tu e I 1, Tu e I 1, Cu e I 1, ku e I 1, xu e I 1, u e I 1, cu e I 1, su e I 1, Ku e I 1, P e I 1, zu e I 1	5054.93333333
r e I 2									0.000	0	0	0.0		0		0	0.000		11	11	0	0	m e I 2, S e I 2, u e I 2, xu e I 2, P e I 2, l e I 2, su e I 2, f e I 2, z e I 2, Cu e I 2, Ku e I 2	27676.7272727
r e I 3									0.000	0	0	0.0		0		0	0.000		15	15	0	0	k e I 3, t e I 3, m e I 3, zu e I 3, Su e I 3, xu e I 3, ku e I 3, l e I 3, Tu e I 3, p e I 3, u e I 3, f e I 3, ru e I 3, su e I 3, n e I 3	18313.3333333
r e I 4									0.000	0	0	0.0		0		0	0.000		19	18	0	1	xu e I 4, tu e I 4, p e I 4, zu e I 4, u e I 4, su e I 4, Su e I 4, n e I 4, f e I 4, P e I 4, l e I 4, ru e I 4, Tu e I 4, ku e I 4, m e I 4, cu e I 4, Zu e I 4, Ku e I 4, e I 4	33672.0555556
ri @ 0									0.000	0	0	0.0		0		0	0.000		4	4	0	0	t @ 0, k @ 0, n @ 0, l @ 0	483620.5
ri @ 1									0.000	0	0	0.0		0		0	0.000		6	6	0	0	C @ 1, k @ 1, K @ 1, x @ 1, Z @ 1, S @ 1	6521.16666667
ri @ 2									0.000	0	0	0.0		0		0	0.000		8	7	0	1	x @ 2, k @ 2, t @ 2, z @ 2, S @ 2, Z @ 2, K @ 2, @ 2	3298.71428571
ri @ 3									0.000	0	0	0.0		0		0	0.000		7	6	0	1	K @ 3, Z @ 3, r @ 3, C @ 3, S @ 3, k @ 3, @ 3	11081.6666667
ri @ 4									0.000	0	0	0.0		0		0	0.000		14	13	0	1	Z @ 4, x @ 4, K @ 4, T @ 4, S @ 4, r @ 4, s @ 4, l @ 4, k @ 4, c @ 4, C @ 4, n @ 4, z @ 4, @ 4	51781.6923077
ri @ n 0									0.000	0	0	0.0		0		0	0.000		1	1	0	0	m @ n 0	39959.0
ri @ N 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri @ n 1									0.000	0	0	0.0		0		0	0.000		11	10	0	1	Z @ n 1, k @ n 1, S @ n 1, s @ n 1, P @ n 1, f @ n 1, m @ n 1, p @ n 1, u @ n 1, C @ n 1, @ n 1	57718.8
ri @ N 1									0.000	0	0	0.0		0		0	0.000		15	15	0	0	f @ N 1, S @ N 1, z @ N 1, r @ N 1, Z @ N 1, t @ N 1, C @ N 1, x @ N 1, p @ N 1, P @ N 1, K @ N 1, k @ N 1, u @ N 1, s @ N 1, c @ N 1	2939.46666667
ri @ n 2									0.000	0	0	0.0		0		0	0.000		8	8	0	0	r @ n 2, m @ n 2, u @ n 2, S @ n 2, C @ n 2, x @ n 2, f @ n 2, P @ n 2	26751.125
ri @ N 2									0.000	0	0	0.0		0		0	0.000		12	12	0	0	n @ N 2, C @ N 2, T @ N 2, r @ N 2, c @ N 2, m @ N 2, f @ N 2, P @ N 2, S @ N 2, x @ N 2, p @ N 2, l @ N 2	16053.9166667
ri @ n 3									0.000	0	0	0.0		0		0	0.000		9	9	0	0	x @ n 3, p @ n 3, u @ n 3, K @ n 3, z @ n 3, r @ n 3, f @ n 3, S @ n 3, Z @ n 3	24547.1111111
ri @ N 3									0.000	0	0	0.0		0		0	0.000		9	9	0	0	t @ N 3, Z @ N 3, l @ N 3, S @ N 3, m @ N 3, P @ N 3, C @ N 3, k @ N 3, u @ N 3	4706.33333333
ri @ n 4									0.000	0	0	0.0		0		0	0.000		12	11	0	1	u @ n 4, f @ n 4, x @ n 4, Z @ n 4, r @ n 4, p @ n 4, C @ n 4, S @ n 4, n @ n 4, k @ n 4, m @ n 4, @ n 4	4357.27272727
ri @ N 4									0.000	0	0	0.0		0		0	0.000		13	13	0	0	Z @ N 4, S @ N 4, m @ N 4, P @ N 4, p @ N 4, t @ N 4, f @ N 4, c @ N 4, z @ N 4, l @ N 4, C @ N 4, u @ N 4, k @ N 4	2748.92307692
ri @ r 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri @ r 1									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri @ r 2									0.000	0	0	0.0		0		0	0.000		1	0	0	1	, @ r 2	45951.0
ri @ r 3									0.000	0	0	0.0		0		0	0.000		1	0	0	1	, @ r 3	4046.0
ri @ r 4									0.000	0	0	0.0		0		0	0.000		1	0	0	1	, @ r 4	4851.0
ri a 0									0.000	0	0	0.0		0		0	0.000		2	2	0	0	p a 0, i a 0	102392.0
ri a 1									0.000	0	0	0.0		0		0	0.000		27	26	0	1	T a 1, m a 1, Ji a 1, S a 1, l a 1, u a 1, xu a 1, Zu a 1, f a 1, x a 1, C a 1, p a 1, i a 1, t a 1, c a 1, s a 1, Xi a 1, Z a 1, ku a 1, P a 1, Su a 1, Qi a 1, Ku a 1, k a 1, K a 1, z a 1, a 1	175449.192308
ri a 2									0.000	0	0	0.0		0		0	0.000		16	15	0	1	n a 2, m a 2, C a 2, S a 2, z a 2, t a 2, xu a 2, P a 2, i a 2, Xi a 2, p a 2, Ji a 2, f a 2, u a 2, Z a 2, a 2	5249.53333333
ri a 3									0.000	0	0	0.0		0		0	0.000		20	20	0	0	p a 3, t a 3, n a 3, m a 3, f a 3, S a 3, K a 3, Su a 3, T a 3, u a 3, Ji a 3, i a 3, z a 3, Ku a 3, s a 3, Z a 3, ku a 3, ti a 3, l a 3, k a 3	10417.7
ri a 4									0.000	0	0	0.0		0		0	0.000		21	21	0	0	n a 4, Xi a 4, t a 4, xu a 4, p a 4, Ji a 4, P a 4, ku a 4, Z a 4, i a 4, l a 4, s a 4, m a 4, T a 4, Ku a 4, u a 4, Qi a 4, S a 4, K a 4, C a 4, f a 4	17800.3333333
ri a n 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri a N 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ri a n 1									0.000	0	0	0.0		0		0	0.000		25	24	0	1	s a n 1, Cu a n 1, ku a n 1, p a n 1, S a n 1, f a n 1, t a n 1, c a n 1, u a n 1, zu a n 1, k a n 1, Z a n 1, tu a n 1, su a n 1, Zu a n 1, T a n 1, Ku a n 1, K a n 1, xu a n 1, Su a n 1, P a n 1, cu a n 1, x a n 1, C a n 1, a n 1	4241.125
