Char	Lexicality	Key	PY	Pho	IPA	Tone	Onset	SyStruct	SyLen	PyLen	SegLen	PhoLen	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	FreqPM	Homophones	HD	PND	Sub_PND	Add_PND	Del_PND	Neighbors	NF	CC	CS	Btw	Close	Eigen
NA	systemicgap	SioN3	NA	S i o N 3	ʂioŋ3	3	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	2	1	0	1	J i o N 3, i o N 3	1056	0	NA	NA	NA	NA
NA	systemicgap	SioN4	NA	S i o N 4	ʂioŋ4	4	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	1	0	0	1	i o N 4	52458	0	NA	NA	NA	NA
NA	systemicgap	SioU0	NA	S i oU 0	ʂioʊ0	0	S	CGVV	1	NA	4	4	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	SioU1	NA	S i oU 1	ʂioʊ1	1	S	CGVV	1	NA	4	4	NA	0	0	NA	0	NA	NA	8	6	0	2	t i oU 1, X i oU 1, l i oU 1, n i oU 1, Q i oU 1, J i oU 1, S oU 1, i oU 1	3678.33333333	0.79	NA	NA	NA	NA
NA	systemicgap	SioU2	NA	S i oU 2	ʂioʊ2	2	S	CGVV	1	NA	4	4	NA	0	0	NA	0	NA	NA	4	3	0	1	Q i oU 2, l i oU 2, n i oU 2, i oU 2	19401	1	NA	NA	NA	NA
NA	systemicgap	SioU3	NA	S i oU 3	ʂioʊ3	3	S	CGVV	1	NA	4	4	NA	0	0	NA	0	NA	NA	7	5	0	2	J i oU 3, n i oU 3, X i oU 3, Q i oU 3, l i oU 3, i oU 3, S oU 3	158853.8	0.76	NA	NA	NA	NA
NA	systemicgap	SioU4	NA	S i oU 4	ʂioʊ4	4	S	CGVV	1	NA	4	4	NA	0	0	NA	0	NA	NA	7	5	0	2	J i oU 4, l i oU 4, X i oU 4, m i oU 4, n i oU 4, i oU 4, S oU 4	82160.5	0.76	NA	NA	NA	NA
NA	systemicgap	Sion0	NA	S i o n 0	ʂion0	0	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	Sion1	NA	S i o n 1	ʂion1	1	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	Sion2	NA	S i o n 2	ʂion2	2	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	Sion3	NA	S i o n 3	ʂion3	3	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	Sion4	NA	S i o n 4	ʂion4	4	S	CGVN	1	NA	4	5	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	Son0	NA	S o n 0	ʂoŋ0	0	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	Son1	NA	S o n 1	ʂon1	1	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	2	2	0	0	S @ n 1, S a n 1	5569	0	NA	NA	NA	NA
NA	systemicgap	Son2	NA	S o n 2	ʂoŋ2	2	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	1	1	0	0	S @ n 2	3778	0	NA	NA	NA	NA
NA	systemicgap	Son3	NA	S o n 3	ʂon3	3	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	3	3	0	0	S a n 3, S @ n 3, S u n 3	432	1	NA	NA	NA	NA
NA	systemicgap	Son4	NA	S o n 4	ʂon4	4	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	3	3	0	0	S a n 4, S u n 4, S @ n 4	1942.33333333	1	NA	NA	NA	NA
NA	systemicgap	SuN0	NA	S u N 0	ʂuŋ0	0	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	SuN1	NA	S u N 1	ʂuŋ1	1	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	7	5	1	1	S u o 1, S @ N 1, S a N 1, S u aI 1, S u a 1, S u a N 1, S u 1	63301.6	0.43	NA	NA	NA	NA
NA	systemicgap	SuN2	NA	S u N 2	ʂuŋ2	2	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	2	1	0	1	S @ N 2, S u 2	1649	0	NA	NA	NA	NA
NA	systemicgap	SuN3	NA	S u N 3	ʂuŋ3	3	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	8	6	1	1	S u eI 3, S u a 3, S @ N 3, S u aI 3, S a N 3, S u n 3, S u a N 3, S u 3	8207.5	0.46	NA	NA	NA	NA
NA	systemicgap	SuN4	NA	S u N 4	ʂuŋ4	4	S	CVN	1	NA	3	4	NA	0	0	NA	0	NA	NA	7	6	0	1	S a N 4, S u eI 4, S @ N 4, S u aI 4, S u n 4, S u o 4, S u 4	25778.6666667	0.52	NA	NA	NA	NA
NA	systemicgap	Sy0	NA	S y 0	ʂy0	0	S	CV	1	NA	2	3	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
NA	systemicgap	Sy1	NA	S y 1	ʂy1	1	S	CV	1	NA	2	3	NA	0	0	NA	0	NA	NA	11	10	0	1	S a 1, S u 1, S 1 1, S aU 1, X y 1, Q y 1, S oU 1, J y 1, S @ 1, S aI 1, y 1	6196.3	0.49	NA	NA	NA	NA
NA	systemicgap	Sy2	NA	S y 2	ʂy2	2	S	CV	1	NA	2	3	NA	0	0	NA	0	NA	NA	10	9	0	1	S eI 2, S 1 2, S a 2, J y 2, S @ 2, S u 2, l y 2, S aU 2, Q y 2, y 2	22119.4444444	0.47	NA	NA	NA	NA
NA	systemicgap	Sy3	NA	S y 3	ʂy3	3	S	CV	1	NA	2	3	NA	0	0	NA	0	NA	NA	13	12	0	1	S oU 3, n y 3, S 1 3, S aU 3, Q y 3, S a 3, S u 3, J y 3, X y 3, l y 3, S @ 3, S aI 3, y 3	22241.5	0.46	NA	NA	NA	NA
NA	systemicgap	Sy4	NA	S y 4	ʂy4	4	S	CV	1	NA	2	3	NA	0	0	NA	0	NA	NA	12	11	0	1	S 1 4, Q y 4, J y 4, S oU 4, S u 4, S @ 4, l y 4, X y 4, S aI 4, S a 4, S aU 4, y 4	117436.272727	0.47	NA	NA	NA	NA
NA	systemicgap	SyE0	NA	S y E 0	ʂyɛ0	0	S	CGV	1	NA	3	4	NA	0	0	NA	0	NA	NA	0	0	0	0		0	0	NA	NA	NA	NA
