Char	Lexicality	Key	PY	Pho	IPA	Tone	Initial	SyStruct	SyLen	PyLen	SegLen	PhoLen	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	FreqDowls	FreqDL	Homophones	HD	PND	Sub_PND	Add_PND	Del_PND	Neighbors	NF	CC	CS	Btw	Close	Eigen
訇	added	xoN	hong	x oN	xoŋ	NA	x	CVN	1	4	3	2	added	0	0		0	0	吽, 烘, 轰, 魟, 宏, 弘, 泓, 洪, 红, 虹, 讧, 鸿, 哄	13	40	32	8	0	x aU, x ueI, x @n, x uo, x uan, Z oN, x ua, c oN, x eI, x aI, x oU, x @, t oN, s oN, n oN, T oN, z oN, x uaI, C oN, x un, x a, k oN, x u, K oN, x an, x uaN, l oN, x @N, r oN, x uor, x aN, x or, x oN ueI, x oN uaI, x oN iEn, x oN i, iEn x oN, x oN yn, x oN @n, a x oN	49239.84375	0.35	0	0	0	0
闀	added	xoN	hong	x oN	xoŋ	NA	x	CVN	1	4	3	2	added	0	0		0	0	吽, 烘, 轰, 魟, 宏, 弘, 泓, 洪, 红, 虹, 讧, 鸿, 哄	13	40	32	8	0	x aU, x ueI, x @n, x uo, x uan, Z oN, x ua, c oN, x eI, x aI, x oU, x @, t oN, s oN, n oN, T oN, z oN, x uaI, C oN, x un, x a, k oN, x u, K oN, x an, x uaN, l oN, x @N, r oN, x uor, x aN, x or, x oN ueI, x oN uaI, x oN iEn, x oN i, iEn x oN, x oN yn, x oN @n, a x oN	49239.84375	0.35	0	0	0	0
蕻	added	xoN	hong	x oN	xoŋ	NA	x	CVN	1	4	3	2	added	0	0		0	0	吽, 烘, 轰, 魟, 宏, 弘, 泓, 洪, 红, 虹, 讧, 鸿, 哄	13	40	32	8	0	x aU, x ueI, x @n, x uo, x uan, Z oN, x ua, c oN, x eI, x aI, x oU, x @, t oN, s oN, n oN, T oN, z oN, x uaI, C oN, x un, x a, k oN, x u, K oN, x an, x uaN, l oN, x @N, r oN, x uor, x aN, x or, x oN ueI, x oN uaI, x oN iEn, x oN i, iEn x oN, x oN yn, x oN @n, a x oN	49239.84375	0.35	0	0	0	0
哄	added	xoN	hong	x oN	xoŋ	NA	x	CVN	1	4	3	2	added	0	0		0	0	吽, 烘, 轰, 魟, 宏, 弘, 泓, 洪, 红, 虹, 讧, 鸿, 哄	13	40	32	8	0	x aU, x ueI, x @n, x uo, x uan, Z oN, x ua, c oN, x eI, x aI, x oU, x @, t oN, s oN, n oN, T oN, z oN, x uaI, C oN, x un, x a, k oN, x u, K oN, x an, x uaN, l oN, x @N, r oN, x uor, x aN, x or, x oN ueI, x oN uaI, x oN iEn, x oN i, iEn x oN, x oN yn, x oN @n, a x oN	49239.84375	0.35	0	0	0	0
讧	added	xoN	hong	x oN	xoŋ	NA	x	CVN	1	4	3	2	added	0	0		0	0	吽, 烘, 轰, 魟, 宏, 弘, 泓, 洪, 红, 虹, 讧, 鸿, 哄	13	40	32	8	0	x aU, x ueI, x @n, x uo, x uan, Z oN, x ua, c oN, x eI, x aI, x oU, x @, t oN, s oN, n oN, T oN, z oN, x uaI, C oN, x un, x a, k oN, x u, K oN, x an, x uaN, l oN, x @N, r oN, x uor, x aN, x or, x oN ueI, x oN uaI, x oN iEn, x oN i, iEn x oN, x oN yn, x oN @n, a x oN	49239.84375	0.35	0	0	0	0
銾	added	xoN	hong	x oN	xoŋ	NA	x	CVN	1	4	3	2	added	0	0		0	0	吽, 烘, 轰, 魟, 宏, 弘, 泓, 洪, 红, 虹, 讧, 鸿, 哄	13	40	32	8	0	x aU, x ueI, x @n, x uo, x uan, Z oN, x ua, c oN, x eI, x aI, x oU, x @, t oN, s oN, n oN, T oN, z oN, x uaI, C oN, x un, x a, k oN, x u, K oN, x an, x uaN, l oN, x @N, r oN, x uor, x aN, x or, x oN ueI, x oN uaI, x oN iEn, x oN i, iEn x oN, x oN yn, x oN @n, a x oN	49239.84375	0.35	0	0	0	0
鬨	added	xoN	hong	x oN	xoŋ	NA	x	CVN	1	4	3	2	added	0	0		0	0	吽, 烘, 轰, 魟, 宏, 弘, 泓, 洪, 红, 虹, 讧, 鸿, 哄	13	40	32	8	0	x aU, x ueI, x @n, x uo, x uan, Z oN, x ua, c oN, x eI, x aI, x oU, x @, t oN, s oN, n oN, T oN, z oN, x uaI, C oN, x un, x a, k oN, x u, K oN, x an, x uaN, l oN, x @N, r oN, x uor, x aN, x or, x oN ueI, x oN uaI, x oN iEn, x oN i, iEn x oN, x oN yn, x oN @n, a x oN	49239.84375	0.35	0	0	0	0
闂	added	xoN	hong	x oN	xoŋ	NA	x	CVN	1	4	3	2	added	0	0		0	0	吽, 烘, 轰, 魟, 宏, 弘, 泓, 洪, 红, 虹, 讧, 鸿, 哄	13	40	32	8	0	x aU, x ueI, x @n, x uo, x uan, Z oN, x ua, c oN, x eI, x aI, x oU, x @, t oN, s oN, n oN, T oN, z oN, x uaI, C oN, x un, x a, k oN, x u, K oN, x an, x uaN, l oN, x @N, r oN, x uor, x aN, x or, x oN ueI, x oN uaI, x oN iEn, x oN i, iEn x oN, x oN yn, x oN @n, a x oN	49239.84375	0.35	0	0	0	0
紅	added	xoN	hong	x oN	xoŋ	NA	x	CVN	1	4	3	2	added	0	0		0	0	吽, 烘, 轰, 魟, 宏, 弘, 泓, 洪, 红, 虹, 讧, 鸿, 哄	13	40	32	8	0	x aU, x ueI, x @n, x uo, x uan, Z oN, x ua, c oN, x eI, x aI, x oU, x @, t oN, s oN, n oN, T oN, z oN, x uaI, C oN, x un, x a, k oN, x u, K oN, x an, x uaN, l oN, x @N, r oN, x uor, x aN, x or, x oN ueI, x oN uaI, x oN iEn, x oN i, iEn x oN, x oN yn, x oN @n, a x oN	49239.84375	0.35	0	0	0	0
䬝	added	xoN	hong	x oN	xoŋ	NA	x	CVN	1	4	3	2	added	0	0		0	0	吽, 烘, 轰, 魟, 宏, 弘, 泓, 洪, 红, 虹, 讧, 鸿, 哄	13	40	32	8	0	x aU, x ueI, x @n, x uo, x uan, Z oN, x ua, c oN, x eI, x aI, x oU, x @, t oN, s oN, n oN, T oN, z oN, x uaI, C oN, x un, x a, k oN, x u, K oN, x an, x uaN, l oN, x @N, r oN, x uor, x aN, x or, x oN ueI, x oN uaI, x oN iEn, x oN i, iEn x oN, x oN yn, x oN @n, a x oN	49239.84375	0.35	0	0	0	0
