Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
X iE n									0.000	0	0	0.0		0		0	0.000		58	29	27	2	Q iE n, t iE n, J iE n, T iE n, X i n, n iE n, p iE n, l iE n, P iE n, X yE n, m iE n, X y n, y iE n, X iE @, X iE i, @r iE n, X iE iE, iaU iE n, X iE ia, i iE n, u iE n, ueI iE n, ioU iE n, X iE iaU, X iE ueI, X iE ioU, @ iE n, aI iE n, X iE yE, ueI X iE n, ioU X iE n, u X iE n, X i iE n, X iE n i, X iE n ueI, y X iE n, X iE n y, i X iE n, X iE n ioU, X iE yE n, X iE i n, X iE n @, X iE @ n, X iaU iE n, X ia iE n, X iE n yE, X iE a n, uaI X iE n, X iE iE n, aU X iE n, X y iE n, X iE n iaU, X iE u@ n, iE X iE n, X iE n @r, @r X iE n, X iE, iE n	45119.3358876
x i n									0.000	0	0	0.0		0		0	0.000		21	17	3	1	x @ n, x ua n, X i n, J i n, n i n, x u n, x a n, Q i n, P i n, l i n, m i n, p i n, y i n, ioU i n, ia i n, u i n, ueI i n, x ueI i n, x aU i n, x ua i n, i n	34158.6862745
x i N									0.000	0	0	0.0		0		0	0.000		20	15	4	1	T i N, J i N, X i N, Q i N, p i N, l i N, m i N, t i N, P i N, x o N, x ua N, x @ N, n i N, x a N, iE i N, x ueI i N, x @ i N, x eI i N, x u i N, i N	33270.7666667
X i n									0.000	0	0	0.0		0		0	0.000		53	25	26	2	X i N, J i n, X iE n, n i n, X yE n, Q i n, X y n, P i n, l i n, m i n, X i aI, p i n, X i i, y i n, X i ueI, X i yE, X i ioU, X i ia, X i y, ioU i n, X i oU, ia i n, u i n, X i u, ueI i n, @ X i n, X i i n, X i n i, X i iE n, i X i n, X i n aI, iE X i n, aI X i n, X i n ueI, X i yE n, X iE i n, X i n ioU, X i n y, ioU X i n, u X i n, X i a n, X i n yE, X i n iaU, ueI X i n, X i n u, uo X i n, X i n aU, X i n a, X iaU i n, X i u@ n, yE X i n, X i, i n	17614.6307692
X i N									0.000	0	0	0.0		0		0	0.000		43	22	19	2	X ia N, T i N, J i N, Q i N, X i n, p i N, l i N, m i N, t i N, P i N, X io N, n i N, X i aI, X i i, iE i N, X i ueI, X i yE, X i ioU, X i ia, X i y, X i oU, X i u, X i ua N, X i N ueI, ueI X i N, ioU X i N, X i N aI, i X i N, X iaU i N, X i N y, u X i N, X i ia N, uaI X i N, X i N i, iE X i N, @ X i N, X i N u, uo X i N, y X i N, iaU X i N, ia X i N, X i, i N	42538.5789474
x io n									0.000	0	0	0.0		0		0	0.000		4	4	0	0	x @ n, x ua n, x u n, x a n	88261.5
x io N									0.000	0	0	0.0		0		0	0.000		16	14	1	1	x o N, X io N, x ua N, x @ N, ioU io N, Q io N, x a N, u io N, J io N, i io N, y io N, iaU io N, ua io N, uaI io N, x @ io N, io N	54481.6428571
X io n									0.000	0	0	0.0		0		0	0.000		5	5	0	0	X i n, X iE n, X yE n, X io N, X y n	14345.0
X io N									0.000	0	0	0.0		0		0	0.000		17	11	5	1	X ia N, X i N, ioU io N, Q io N, u io N, J io N, i io N, y io N, iaU io N, ua io N, uaI io N, X io N ueI, X io N @, X iaU io N, i X io N, X io N i, io N	84219.3272727
x ioU									0.000	0	0	0.0		0		0	0.000		33	27	5	1	x aU, x ueI, J ioU, x uo, x ua, x eI, x aI, x oU, x @, Q ioU, l ioU, x uaI, X ioU, x a, x u, t ioU, n ioU, ueI ioU, m ioU, uo ioU, aU ioU, ioU ioU, iE ioU, a ioU, y ioU, i ioU, u ioU, x aI ioU, x aU ioU, x u ioU, x uaI ioU, x ueI ioU, ioU	395260.888889
