Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
X i a N									0.000	0	0	0.0		0		0	0.000		30	13	14	3	l i a N, J i a N, i i a N, Q i a N, X i o N, X i a u, n i a N, X i a y, X i a n, X i a @, u i a N, X i a aI, X i a i, X i u a N, oU X i a N, i X i a N, X i a N aI, X i a N y, X i f a N, y X i a N, X i i a N, X i z a N, aU X i a N, X i C a N, X i a N i, u X i a N, X i r a N, X i a, X i N, i a N	49616.2197802
x i a r									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
X i a r									0.000	0	0	0.0		0		0	0.000		9	7	1	1	X i a N, X i a u, X i a y, X i a n, X i a @, X i a aI, X i a i, X i a r 1, X i a	100533.571429
x i aU									0.000	0	0	0.0		0		0	0.000		16	12	2	2	l i aU, J i aU, X i aU, T i aU, t i aU, Q i aU, m i aU, P i aU, n i aU, p i aU, aI i aU, i i aU, x aI i aU, x oU i aU, x aU, i aU	412425.25
X i aU									0.000	0	0	0.0		0		0	0.000		34	20	12	2	l i aU, X i a, J i aU, X i E, X i N, X i n, T i aU, t i aU, Q i aU, X i oU, m i aU, P i aU, n i aU, p i aU, X i aI, X i i, aI i aU, i i aU, X i y, X i u, X y i aU, X i z aU, X i p aU, X i aU u, u X i aU, X i x aU, aI X i aU, X i aU y, X i aU i, X i S aU, X i n aU, i X i aU, i aU, X i	218495.8
x i E									0.000	0	0	0.0		0		0	0.000		16	13	2	1	p i E, X i E, J i E, Q i E, T i E, l i E, t i E, u i E, m i E, n i E, P i E, aU i E, y i E, x eI i E, x @ i E, i E	154420.884615
X i E									0.000	0	0	0.0		0		0	0.000		31	22	7	2	p i E, X i a, X i aU, X i N, X i n, J i E, X y E, X i oU, Q i E, T i E, l i E, t i E, u i E, m i E, n i E, X i aI, X i i, P i E, aU i E, X i y, y i E, X i u, X i E n, i X i E, X i E @, X i E i, X i y E, y X i E, X i E u, i E, X i	99291.7792208
x i E n									0.000	0	0	0.0		0		0	0.000		19	15	3	1	Q i E n, t i E n, J i E n, T i E n, n i E n, X i E n, p i E n, l i E n, P i E n, m i E n, y i E n, i i E n, u i E n, @ i E n, aI i E n, x u i E n, x @ i E n, x oU i E n, i E n	40476.4
X i E n									0.000	0	0	0.0		0		0	0.000		36	20	13	3	Q i E n, t i E n, J i E n, T i E n, n i E n, p i E n, l i E n, P i E n, X y E n, m i E n, y i E n, X i E @, X i E i, X i i n, i i E n, u i E n, X i a n, @ i E n, aI i E n, X i E u, u X i E n, X i i E n, X i E n i, y X i E n, X i E n y, i X i E n, X i y E n, X i E i n, X i E n @, X i E @ n, X i E a n, aU X i E n, X y i E n, X i E, X i n, i E n	51642.3333333
x i n									0.000	0	0	0.0		0		0	0.000		16	13	2	1	x @ n, X i n, J i n, n i n, x u n, x a n, Q i n, P i n, l i n, m i n, p i n, y i n, u i n, x aU i n, x oU i n, i n	31502.1538462
x i N									0.000	0	0	0.0		0		0	0.000		17	13	3	1	T i N, J i N, X i N, Q i N, p i N, l i N, m i N, t i N, P i N, x o N, x @ N, n i N, x a N, x @ i N, x eI i N, x u i N, i N	35952.0
X i n									0.000	0	0	0.0		0		0	0.000		34	19	13	2	X i a, X i E, X i aU, X i N, J i n, n i n, X i oU, Q i n, X y n, P i n, l i n, m i n, X i aI, p i n, X i i, y i n, X i y, u i n, X i u, X i E n, @ X i n, X i i n, X i n i, i X i n, X i n aI, aI X i n, X i n y, u X i n, X i a n, X i n u, X i n aU, X i n a, X i, i n	27806.5546559
X i N									0.000	0	0	0.0		0		0	0.000		30	18	10	2	T i N, X i a, X i E, J i N, X i aU, Q i N, X i n, p i N, l i N, m i N, t i N, X i oU, P i N, n i N, X i aI, X i i, X i y, X i u, X i a N, X i o N, X i N aI, i X i N, X i N y, u X i N, X i N i, @ X i N, X i N u, y X i N, X i, i N	68350.5888889
x i o n									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
x i o N									0.000	0	0	0.0		0		0	0.000		9	6	1	2	X i o N, Q i o N, u i o N, J i o N, i i o N, y i o N, x @ i o N, i o N, x o N	29350.3333333
X i o n									0.000	0	0	0.0		0		0	0.000		5	4	0	1	X i E n, X i o N, X i i n, X i a n, X i n	41437.25
X i o N									0.000	0	0	0.0		0		0	0.000		15	6	7	2	X i a N, Q i o N, u i o N, J i o N, i i o N, y i o N, X i T o N, X i l o N, X i o N @, X i k o N, X i s o N, i X i o N, X i o N i, i o N, X i N	97621.2857143
x i oU									0.000	0	0	0.0		0		0	0.000		18	13	3	2	J i oU, Q i oU, l i oU, X i oU, t i oU, n i oU, x aI oU, m i oU, aU i oU, a i oU, x u oU, y i oU, i i oU, x aI i oU, x aU i oU, x u i oU, i oU, x oU	219527.961538
X i oU									0.000	0	0	0.0		0		0	0.000		28	19	7	2	J i oU, X i a, X i E, X i aU, X i N, X i n, Q i oU, l i oU, t i oU, n i oU, X i aI, X i i, X i y, m i oU, aU i oU, X i u, a i oU, y i oU, i i oU, X i S oU, X i i oU, u X i oU, X i oU u, i X i oU, X i r oU, X i Z oU, i oU, X i	206578.819549
x o n									0.000	0	0	0.0		0		0	0.000		4	4	0	0	x @ n, x u n, x a n, x o N	54477.0
x o N									0.000	0	0	0.0		0		0	0.000		17	15	2	0	Z o N, i o N, c o N, t o N, s o N, n o N, T o N, z o N, C o N, k o N, K o N, l o N, x @ N, r o N, x a N, x o N i, a x o N	16788.2333333
X o n									0.000	0	0	0.0		0		0	0.000		2	2	0	0	X i n, X y n	18128.5
X o N									0.000	0	0	0.0		0		0	0.000		16	15	1	0	Z o N, i o N, c o N, X i N, t o N, s o N, n o N, T o N, z o N, C o N, k o N, K o N, x o N, l o N, r o N, X i o N	23091.6666667
