Char	Lexicality	Key	PY	Pho	IPA	Tone	Initial	SyStruct	SyLen	PyLen	SegLen	PhoLen	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	FreqDowls	FreqDL	Homophones	HD	PND	Sub_PND	Add_PND	Del_PND	Neighbors	NF	CC	CS	Btw	Close	Eigen
䱎	added	k@N	geng	k@N	kəŋ	NA	k	CVN	1	4	3	1	added	0	0		0	0	庚, 羹, 耕, 赓, 哽, 埂, 梗, 耿, 鲠	9	21	0	21	0	can k@N, k@N i, k@N iE, k@N Jia, k@N kaI, k@N miN, k@N S!, k@N s@, k@N ti, k@N Ti, k@N ueI, k@N Xin, k@N xuan, k@N yn, k@N Z@N, k@N ZoN, k@N zu, k@N zuo, piEn k@N, TiaU k@N, zuo k@N	130	0.68	0	0	0	0
䨣	added	k@N	geng	k@N	kəŋ	NA	k	CVN	1	4	3	1	added	0	0		0	0	庚, 羹, 耕, 赓, 哽, 埂, 梗, 耿, 鲠	9	21	0	21	0	can k@N, k@N i, k@N iE, k@N Jia, k@N kaI, k@N miN, k@N S!, k@N s@, k@N ti, k@N Ti, k@N ueI, k@N Xin, k@N xuan, k@N yn, k@N Z@N, k@N ZoN, k@N zu, k@N zuo, piEn k@N, TiaU k@N, zuo k@N	130	0.68	0	0	0	0
䱴	added	k@N	geng	k@N	kəŋ	NA	k	CVN	1	4	3	1	added	0	0		0	0	庚, 羹, 耕, 赓, 哽, 埂, 梗, 耿, 鲠	9	21	0	21	0	can k@N, k@N i, k@N iE, k@N Jia, k@N kaI, k@N miN, k@N S!, k@N s@, k@N ti, k@N Ti, k@N ueI, k@N Xin, k@N xuan, k@N yn, k@N Z@N, k@N ZoN, k@N zu, k@N zuo, piEn k@N, TiaU k@N, zuo k@N	130	0.68	0	0	0	0
䱭	added	k@N	geng	k@N	kəŋ	NA	k	CVN	1	4	3	1	added	0	0		0	0	庚, 羹, 耕, 赓, 哽, 埂, 梗, 耿, 鲠	9	21	0	21	0	can k@N, k@N i, k@N iE, k@N Jia, k@N kaI, k@N miN, k@N S!, k@N s@, k@N ti, k@N Ti, k@N ueI, k@N Xin, k@N xuan, k@N yn, k@N Z@N, k@N ZoN, k@N zu, k@N zuo, piEn k@N, TiaU k@N, zuo k@N	130	0.68	0	0	0	0
裉	added	K@n	ken	K@n	kʰən	NA	K	CVN	1	3	3	1	added	0	0		0	0	啃, 垦, 恳, 肯	4	13	0	13	0	C@N K@n, K@n kan, K@n QiN, K@n QioU, K@n T@, K@n tiN, KaI K@n, lin K@n, niN K@n, pu K@n, Qin K@n, SoU K@n, ZoN K@n	1482.38461538462	0.49	0	0	0	0
褃	added	K@n	ken	K@n	kʰən	NA	K	CVN	1	3	3	1	added	0	0		0	0	啃, 垦, 恳, 肯	4	13	0	13	0	C@N K@n, K@n kan, K@n QiN, K@n QioU, K@n T@, K@n tiN, KaI K@n, lin K@n, niN K@n, pu K@n, Qin K@n, SoU K@n, ZoN K@n	1482.38461538462	0.49	0	0	0	0
懇	added	K@n	ken	K@n	kʰən	NA	K	CVN	1	3	3	1	added	0	0		0	0	啃, 垦, 恳, 肯	4	13	0	13	0	C@N K@n, K@n kan, K@n QiN, K@n QioU, K@n T@, K@n tiN, KaI K@n, lin K@n, niN K@n, pu K@n, Qin K@n, SoU K@n, ZoN K@n	1482.38461538462	0.49	0	0	0	0
掯	added	K@n	ken	K@n	kʰən	NA	K	CVN	1	3	3	1	added	0	0		0	0	啃, 垦, 恳, 肯	4	13	0	13	0	C@N K@n, K@n kan, K@n QiN, K@n QioU, K@n T@, K@n tiN, KaI K@n, lin K@n, niN K@n, pu K@n, Qin K@n, SoU K@n, ZoN K@n	1482.38461538462	0.49	0	0	0	0
珢	added	K@n	ken	K@n	kʰən	NA	K	CVN	1	3	3	1	added	0	0		0	0	啃, 垦, 恳, 肯	4	13	0	13	0	C@N K@n, K@n kan, K@n QiN, K@n QioU, K@n T@, K@n tiN, KaI K@n, lin K@n, niN K@n, pu K@n, Qin K@n, SoU K@n, ZoN K@n	1482.38461538462	0.49	0	0	0	0
硻	added	K@N	keng	K@N	kʰəŋ	NA	K	CVN	1	4	3	1	added	0	0		0	0	坑, 铿	2	12	0	12	0	f@n K@N, K@N QiaN, K@N S@N, K@N taU, K@N toN, KuaN K@N, maU K@N, ni K@N, Sa K@N, SueI K@N, tan K@N, xuo K@N	17.8333333333333	0.52	0	0	0	0
个儿	added	k@r	ger	k@r	kəɹ	NA	k	CVR	1	3	3	1	added	0	0		0	0	哥儿, 歌儿, 嗝儿, 个儿	4	6	0	6	0	aI k@r, ia k@r, k@r m@n, kaU k@r, ta k@r, z! k@r	37.1666666666667	0.67	0	0	0	0
哥儿	added	k@r	ger	k@r	kəɹ	NA	k	CVR	1	3	3	1	added	0	0		0	0	哥儿, 歌儿, 嗝儿, 个儿	4	6	0	6	0	aI k@r, ia k@r, k@r m@n, kaU k@r, ta k@r, z! k@r	37.1666666666667	0.67	0	0	0	0
各儿	added	k@r	ger	k@r	kəɹ	NA	k	CVR	1	3	3	1	added	0	0		0	0	哥儿, 歌儿, 嗝儿, 个儿	4	6	0	6	0	aI k@r, ia k@r, k@r m@n, kaU k@r, ta k@r, z! k@r	37.1666666666667	0.67	0	0	0	0
根儿	added	k@r	genr	k@r	kəɹ	NA	k	CVR	1	4	3	1	added	0	0		0	0	哥儿, 歌儿, 嗝儿, 个儿	4	6	0	6	0	aI k@r, ia k@r, k@r m@n, kaU k@r, ta k@r, z! k@r	37.1666666666667	0.67	0	0	0	0
旮	added	ka	ga	ka	ka	NA	k	CV	1	2	2	1	added	0	0		0	0	嘎, 钆, 尕	3	4	0	4	0	ka ka, ka la, ka li, kan ka	356	0.67	0	0	0	0
尬	added	ka	ga	ka	ka	NA	k	CV	1	2	2	1	added	0	0		0	0	嘎, 钆, 尕	3	4	0	4	0	ka ka, ka la, ka li, kan ka	356	0.67	0	0	0	0
赅	added	kaI	gai	kaI	kaɪ	NA	k	CVV	1	3	3	1	added	0	0		0	0	该, 改, 概, 盖, 钙	5	81	0	81	0	caN kaI, cuan kaI, fu kaI, i kaI, iEn kaI, iN kaI, k@N kaI, kaI an, kaI C@, kaI C@N, kaI faN, kaI iaU, kaI ioN, kaI Jia, kaI JiEn, kaI Jin, kaI Jy, kaI k@, kaI KoU, kaI kuan, kaI KuaN, kaI kuo, kaI Kuo, kaI liaN, kaI ly, kaI miN, kaI niEn, kaI pan, kaI Pan, kaI piEn, kaI PiEn, kaI Qi, kaI Qy, kaI r!, kaI r@n, kaI s!, kaI S!, kaI San, kaI Su, kaI taU, kaI ti, kaI tiaU, kaI TiEn, kaI toN, kaI ToU, kaI ueI, kaI xaN, kaI XiE, kaI XiN, kaI xua, kaI xuan, kaI xueI, kaI XyEn, kaI z!, kaI Z!, kaI Z@n, kaI Z@N, kaI ZaN, kaI zaU, kaI ZoU, kaI zu, kaI ZuaN, kuan kaI, kuo kaI, laU kaI, p@n kaI, piN kaI, PiN kaI, Pu kaI, Qi kaI, ta kaI, tiN kaI, Tu kaI, xan kaI, Xi kaI, XioU kaI, xoU kaI, xueI kaI, xuo kaI, Z@ kaI, Z@N kaI	796.308641975309	0.56	0	0	0	0
溉	added	kaI	gai	kaI	kaɪ	NA	k	CVV	1	3	3	1	added	0	0		0	0	该, 改, 概, 盖, 钙	5	81	0	81	0	caN kaI, cuan kaI, fu kaI, i kaI, iEn kaI, iN kaI, k@N kaI, kaI an, kaI C@, kaI C@N, kaI faN, kaI iaU, kaI ioN, kaI Jia, kaI JiEn, kaI Jin, kaI Jy, kaI k@, kaI KoU, kaI kuan, kaI KuaN, kaI kuo, kaI Kuo, kaI liaN, kaI ly, kaI miN, kaI niEn, kaI pan, kaI Pan, kaI piEn, kaI PiEn, kaI Qi, kaI Qy, kaI r!, kaI r@n, kaI s!, kaI S!, kaI San, kaI Su, kaI taU, kaI ti, kaI tiaU, kaI TiEn, kaI toN, kaI ToU, kaI ueI, kaI xaN, kaI XiE, kaI XiN, kaI xua, kaI xuan, kaI xueI, kaI XyEn, kaI z!, kaI Z!, kaI Z@n, kaI Z@N, kaI ZaN, kaI zaU, kaI ZoU, kaI zu, kaI ZuaN, kuan kaI, kuo kaI, laU kaI, p@n kaI, piN kaI, PiN kaI, Pu kaI, Qi kaI, ta kaI, tiN kaI, Tu kaI, xan kaI, Xi kaI, XioU kaI, xoU kaI, xueI kaI, xuo kaI, Z@ kaI, Z@N kaI	796.308641975309	0.56	0	0	0	0
