Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
c aN									0.000	0	0	0.0		0		0	0.000		47	42	4	1	Xi aN, r aN, S aN, c 1, li aN, p aN, c oN, c aI, Ji aN, t aN, Z aN, f aN, C aN, Qi aN, u aN, k aN, Zu aN, m aN, Cu aN, T aN, i aN, Su aN, c aU, ku aN, l aN, Ku aN, xu aN, c an, P aN, ni aN, c un, c @N, z aN, c a, c @, K aN, c u, s aN, x aN, c oU, n aN, c @n, in c aN, c aN iN, an c aN, yn c aN, aN	26152.9761905
C an									0.000	0	0	0.0		0		0	0.000		54	48	5	1	xu an, K an, t an, C u, u an, C 1, C @, p an, Cu an, C aN, C @N, T an, ku an, s an, n an, k an, Z an, su an, C a, f an, tu an, C oN, S an, m an, C aU, Zu an, l an, C oU, C un, x an, lu an, P an, c an, C @n, z an, r an, Tu an, Ku an, C aI, zu an, ru an, nu an, Su an, i an, cu an, in an, y an, an an, i C an, C an u, C a an, in C an, u C an, an	26701.3625
C aN									0.000	0	0	0.0		0		0	0.000		52	42	9	1	Xi aN, r aN, S aN, li aN, p aN, C u, Ji aN, t aN, C 1, Z aN, C @, f aN, Qi aN, C @N, u aN, C a, k aN, Zu aN, C oN, m aN, Cu aN, T aN, C aU, i aN, C oU, Su aN, c aN, ku aN, C un, l aN, Ku aN, xu aN, P aN, ni aN, C @n, z aN, C an, C aI, K aN, s aN, x aN, n aN, i C aN, C aN iN, u C aN, C aN i, C aN in, y C aN, in C aN, C aN aI, C aN u, aN	25760.3253968
c ar									0.000	0	0	0.0		0		0	0.000		13	13	0	0	c 1, c oN, c aI, c aU, c aN, c an, c un, c @N, c a, c @, c u, c oU, c @n	13144.9230769
C ar									0.000	0	0	0.0		0		0	0.000		13	13	0	0	C u, C 1, C @, C aN, C @N, C a, C oN, C aU, C oU, C un, C @n, C an, C aI	14921.6923077
c aU									0.000	0	0	0.0		0		0	0.000		43	40	2	1	li aU, x aU, i aU, t aU, c 1, Z aU, Ji aU, c oN, c aI, Xi aU, k aU, Ti aU, z aU, ti aU, l aU, P aU, p aU, S aU, Qi aU, K aU, T aU, C aU, m aU, c aN, mi aU, Pi aU, ni aU, n aU, pi aU, c an, c un, c @N, c a, r aU, c @, s aU, c u, c oU, aU aU, c @n, c aU an, aU c aU, aU	59128.6
C aU									0.000	0	0	0.0		0		0	0.000		42	40	1	1	li aU, x aU, i aU, t aU, Z aU, Ji aU, C u, Xi aU, C 1, k aU, C @, Ti aU, C aN, z aU, ti aU, l aU, C @N, P aU, C a, p aU, S aU, Qi aU, C oN, K aU, T aU, m aU, C oU, c aU, mi aU, Pi aU, ni aU, C un, n aU, pi aU, C @n, C an, r aU, C aI, s aU, aU aU, C aU @, aU	59546.2
c E									0.000	0	0	0.0		0		0	0.000		30	30	0	0	i E, pi E, c 1, c oN, c aI, Xi E, Ji E, y E, Qy E, Xy E, c aU, c aN, Qi E, Jy E, c an, Ti E, c un, c @N, li E, c a, c @, ti E, mi E, ni E, c u, c oU, ly E, ny E, Pi E, c @n	17113.4666667
C E									0.000	0	0	0.0		0		0	0.000		30	30	0	0	i E, pi E, C u, Xi E, C 1, Ji E, C @, C aN, y E, C @N, Qy E, C a, C oN, Xy E, C aU, C oU, C un, Qi E, Jy E, Ti E, C @n, li E, C an, ti E, C aI, mi E, ni E, ly E, ny E, Pi E	17883.4
c eI									0.000	0	0	0.0		0		0	0.000		38	37	0	1	xu eI, m eI, tu eI, k eI, t eI, u eI, p eI, zu eI, c 1, S eI, c oN, c aI, x eI, Su eI, su eI, f eI, l eI, Tu eI, ku eI, n eI, P eI, c aU, c aN, Zu eI, Cu eI, c an, c un, c @N, ru eI, c a, c @, cu eI, z eI, c u, Ku eI, c oU, c @n, eI	38867.5405405
